,request,label
0,gethttp://localhost:8080/tienda1/global/menum.jsp,0
1,gethttp://localhost:8080/tienda1/global/titulo.jsp,0
2,posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito,0
3,posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=norberto&pwd=comparendo&remember=off&b1=entrar,0
4,gethttp://localhost:8080/tienda1/global/creditos.jsp,0
5,gethttp://localhost:8080/tienda1/global/titulo.jsp,0
6,posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas,0
7,gethttp://localhost:8080/tienda1/miembros/salir.jsp,0
8,posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas,0
9,gethttp://localhost:8080/tienda1/publico/productos.jsp,0
10,posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1,0
11,"posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=soules&password=acomplexionada&nombre=rigby&apellidos=pascuet+landivar&email=moskuna@sitcpla.ye&dni=45053569l&direccion=duende,+138,+&ciudad=guingueta+d'�neu,+la&cp=40170&provincia=huesca&ntc=0029687955884916&b1=registrar",0
12,gethttp://localhost:8080/tienda1/imagenes/3.gif,0
13,gethttp://localhost:8080/tienda1/publico/carrito.jsp,0
14,gethttp://localhost:8080/tienda1/imagenes/3.gif,0
15,"posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=evin&password=sa6r2&nombre=sibonet&apellidos=amaro&email=gorcy.davis@carmensanmartin.bo&dni=16601924h&direccion=estrada+mendiarte+s/n,+10?a&ciudad=destriana&cp=25307&provincia=burgos&ntc=5515498437464021&b1=registrar",0
16,gethttp://localhost:8080/tienda1/publico/carrito.jsp,0
17,gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=2742&b1=pasar+por+caja,0
18,gethttp://localhost:8080/tienda1/global/creditos.jsp,0
19,posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=119&b1=pasar+por+caja,0
20,gethttp://localhost:8080/tienda1/miembros/index.jsp,0
21,gethttp://localhost:8080/tienda1/publico/miembros.jsp,0
22,posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=vino+rioja&precio=85&cantidad=49&b1=a�adir+al+carrito,0
23,posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito,0
24,gethttp://localhost:8080/tienda1/miembros/imagenes/castro.jpg,0
25,gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=8547&b1=pasar+por+caja,0
