,request,label
0,posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas,0
1,posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito,0
2,posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas,0
3,gethttp://localhost:8080/tienda1/index.jsp,0
4,gethttp://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg,0
5,posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1,0
6,gethttp://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg,0
7,gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=yutaka&pwd=oficios$o&remember=off&b1=entrar,0
8,gethttp://localhost:8080/tienda1/imagenes/cmenbul.gif,0
9,"gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=clennito&password=4ntra6a&nombre=davel&apellidos=blanc+hormachea&email=jelisic@sevach.pf&dni=83513142g&direccion=c/+mijancas,+154+3?c&ciudad=relleu&cp=17773&provincia=albacete&ntc=4260479237625494&b1=registrar",0
10,posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=5806&b1=pasar+por+caja,0
11,gethttp://localhost:8080/tienda1/publico/productos.jsp,0
12,gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas,0
13,gethttp://localhost:8080/tienda1/imagenes/nuestratierra.jpg,0
14,gethttp://localhost:8080/tienda1/miembros/imagenes/castro.jpg,0
15,gethttp://localhost:8080/tienda1/miembros/salir.jsp,0
16,gethttp://localhost:8080/tienda1/global/menum.jsp,0
17,gethttp://localhost:8080/tienda1/index.jsp,0
18,posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=roedel&pwd=bota&remember=off&b1=entrar,0
19,posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito,0
20,gethttp://localhost:8080/tienda1/imagenes/logo.gif,0
21,gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2,0
22,gethttp://localhost:8080/tienda1/publico/miembros.jsp,0
23,posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=emad&pwd=6onc+hesta&remember=on&b1=entrar,0
24,gethttp://localhost:8080/tienda1/global/titulo.jsp,0
25,"gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=hall&password=f6lo40r06&nombre=f�lixmar�a&apellidos=closa+ortell&email=marye@theroxyblue.mr&dni=51285362p&direccion=avda.+manuel+gorria,+97,+7?f&ciudad=romeral,+el&cp=31229&provincia=murcia&ntc=1354790764282660&b1=registrar",0
26,gethttp://localhost:8080/tienda1/imagenes/2.gif,0
