,request,label
0,gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=vino+rioja&precio=39&cantidad=13&b1=a�adir+al+carrito,0
1,gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1,0
2,gethttp://localhost:8080/tienda1/miembros/index.jsp,0
3,posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas,0
4,gethttp://localhost:8080/tienda1/imagenes/2.gif,0
5,gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=gater9&pwd=c356conio&remember=off&b1=entrar,0
6,"gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=marieann&password=1i6p06ej7&nombre=teodota&apellidos=penarroya+ingla&email=gayle@freetag.name&dni=54709157t&direccion=el+halcon+154,+8?f&ciudad=rabanera&cp=03314&provincia=valladolid&ntc=1571256483586961&b1=registrar",0
7,"posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=auria&password=inquisici�n&nombre=vivaldo&apellidos=panell+portaneri&email=sayer@esbien.bi&dni=27306256n&direccion=madrid,+27+&ciudad=logro�o&cp=43736&provincia=ciudad+real&ntc=6537476325760255&b1=registrar",0
8,gethttp://localhost:8080/tienda1/miembros/index.jsp,0
9,gethttp://localhost:8080/tienda1/miembros/imagenes/ogono.jpg,0
10,gethttp://localhost:8080/tienda1/miembros/fotos.jsp,0
11,gethttp://localhost:8080/tienda1/miembros/salir.jsp,0
12,gethttp://localhost:8080/tienda1/imagenes/cmenbul.gif,0
13,gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2,0
14,gethttp://localhost:8080/tienda1/imagenes/logo.gif,0
15,gethttp://localhost:8080/tienda1/imagenes/nuestratierra.jpg,0
16,posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=jam�n+ib�rico&precio=100&cantidad=73&b1=a�adir+al+carrito,0
17,gethttp://localhost:8080/tienda1/imagenes/1.gif,0
18,gethttp://localhost:8080/tienda1/global/creditos.jsp,0
19,gethttp://localhost:8080/tienda1/global/menum.jsp,0
20,gethttp://localhost:8080/tienda1/miembros/imagenes/ogono.jpg,0
21,gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas,0
22,gethttp://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg,0
23,gethttp://localhost:8080/tienda1/global/menum.jsp,0
24,posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=4538&b1=confirmar,0
25,gethttp://localhost:8080/tienda1/imagenes/logo.gif,0
26,gethttp://localhost:8080/tienda1/miembros/salir.jsp,0
27,gethttp://localhost:8080/tienda1/global/menum.jsp,0
28,gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas,0
29,gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=kolski&pwd=cejadero&remember=off&b1=entrar,0
30,posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=chrysa2&pwd=vajil-la&remember=off&b1=entrar,0
31,gethttp://localhost:8080/tienda1/imagenes/2.gif,0
32,posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2,0
33,posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=fianna&pwd=comprensi�n&remember=on&b1=entrar,0
34,gethttp://localhost:8080/tienda1/publico/miembros.jsp,0
35,gethttp://localhost:8080/tienda1/imagenes/logo.gif,0
36,gethttp://localhost:8080/tienda1/miembros/index.jsp,0
37,posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=1320&b1=confirmar,0
38,gethttp://localhost:8080/tienda1/imagenes/1.gif,0
39,gethttp://localhost:8080/tienda1/imagenes/cmenbul.gif,0
40,gethttp://localhost:8080/tienda1/miembros/imagenes/castro.jpg,0
41,"gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=fambroug&password=atl�ntica&nombre=tiberio&apellidos=reig+jallo&email=naestiberger@biogasworld.rs&dni=02054707w&direccion=josep+guix+i+llado,+89+2-d&ciudad=preixens&cp=05309&provincia=castell�n&ntc=3313243213262173&b1=registrar",0
42,gethttp://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg,0
43,posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=3813&b1=confirmar,0
44,gethttp://localhost:8080/tienda1/imagenes/logo.gif,0
45,gethttp://localhost:8080/tienda1/miembros/fotos.jsp,0
46,"posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=rintel&password=degollar&nombre=antulio&apellidos=morales+orpinell&email=pataki-grifties@hiteurope.by&dni=34336341d&direccion=c/+rua+mayor,+31,+1?e&ciudad=sant+vicen�+de+torell�&cp=50371&provincia=valencia&ntc=5377372403667671&b1=registrar",0
47,gethttp://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg,0
48,gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2,0
49,gethttp://localhost:8080/tienda1/imagenes/nuestratierra.jpg,0
